1349.01;Директор музеја
1349.02;Директор научног института
1349.03;Директор позоришта
1349.04;Директор студентског културног центра
1349.05;Директор установе културе
1349.06;Директор филмске продукције
1349.07;Помоћник директора установе културе
1349.08;Руководилац архиве
1349.09;Руководилац уметничке галерије
1349.1;Руководилац установе културе
1349.11;Управник студентског/ученичког дома
1411.01;Менаџер мотела
1411.02;Менаџер хостела
1411.03;Менаџер хотела
1412.01;Менаџер за послуживање хране и пића – кетеринг
1412.02;Менаџер кафића/клуба
1412.03;Менаџер ресторана
1412.04;Руководилац угоститељског објекта
1420.01;Менаџер продавнице
1420.02;Менаџер супермаркета
1420.03;Менаџер у велепродаји
1420.04;Менаџер у малопродаји
1420.05;Руководилац за спољну трговину
1420.06;Управник апотеке
1431.01;Директор спортског центра
1431.02;Директор установе за спорт и физичку културу
1431.03;Менаџер биоскопа
1431.04;Менаџер забавног парка
1431.05;Менаџер казина
1431.06;Менаџер рекреативног центра
1431.07;Менаџер у спорту
1431.08;Помоћник директора установе за спорт и физичку културу
1431.09;Руководилац спортске организације
1431.1;Руководилац у спорту и рекреацији
1439.01;Директор марине
1439.02;Менаџер козметичког салона
1439.03;Менаџер ауто-кампа
1439.04;Менаџер контакт центра
1439.05;Менаџер конференцијског центра
1439.06;Менаџер туристичке агенције
1439.07;Менаџер тржног центра
1439.08;Менаџер центра за камповање
1439.09;Менаџер ауто-сервиса
2111.01;Аеро-динамичар
2111.02;Астроном
2111.03;Астрофизичар
2111.04;Балистичар
2111.05;Истраживач у области физике
2111.06;Медицински физичар
2111.07;Метролог
2111.08;Молекуларни физичар
2111.09;Нуклеарни физичар
2111.1;Реолог
2111.11;Стручњак за енергију из обновљивих извора
2111.12;Стручњак механике
2111.13;Термодинамичар
2111.14;Физичар
2111.15;Физичар акустичар
2111.16;Физичар за електрицитет и магнетизам
2111.17;Физичар за електронику
2111.18;Физичар за оптичку/светлосну физику
2111.19;Физичар хидродинамичар
2112.01;Агрометеоролог
2112.02;Климатолог
2112.03;Метеоролог
2112.04;Синоптичар
2112.05;Хидрометеоролог
2113.01;Истраживач у области физикохемије
2113.02;Истраживач у области хемије
2113.03;Кристалографиста
2113.04;Нуклеарни хемичар
2113.05;Физикохемичар
2113.06;Хемичар
2113.07;Хемичар аналитичар
2114.01;Геолог геотехнике
2114.02;Геолог минералних сировина
2114.03;Геолог регионалне геологије
2114.04;Геомагнетичар
2114.05;Геоморфолог
2114.06;Геофизичар
2114.07;Истраживач у области геологије
